mensagem,stream,data,tipo_toxicidade
Teu monitor e uma TV de tubo da antiga coringa pqp  qualidade 0%,loud_coringa,2026-04-10,OBS
kkkkkkkkkkkkkkk pqp kkk,loud_coringa,2026-04-10,OBS
"Cara não coloca um capacete,um colete nada pqp",loud_coringa,2026-04-10,OBS
sirene eh ruim d+,loud_coringa,2026-04-10,INS
É uma anta,loud_coringa,2026-04-10,INS
jegue demais,loud_coringa,2026-04-10,INS
kkkkkkkkkkkkkkkkkkkk cara ruim,loud_coringa,2026-04-10,INS
Muito anta,loud_coringa,2026-04-10,INS
Tu também é uma anta kkkkkkkkkk,loud_coringa,2026-04-10,INS
Muito ruim,loud_coringa,2026-04-10,INS
esses de vermelho são enstrosa p crl,loud_coringa,2026-04-10,OBS
derrapa carai,loud_coringa,2026-04-10,OBS
@eebraimtokovoip aí é foda kkk,loud_coringa,2026-04-10,OBS
Tá porra akakak,loud_coringa,2026-04-10,OBS
vai curintia nessa pohaaaaaa,loud_coringa,2026-04-10,OBS
Time ruim da fera KKKkkkkk,loud_coringa,2026-04-10,INS
Da polícia só lixolkkkkkkj,loud_coringa,2026-04-10,INS
Pqp,loud_coringa,2026-04-10,OBS
Cj o Ruim,loud_coringa,2026-04-10,INS
@augzinho ele tá com a garganta ruim,loud_coringa,2026-04-10,INS
pqp kkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,loud_coringa,2026-04-10,OBS
pqp,loud_coringa,2026-04-10,OBS
Porra,loud_coringa,2026-04-10,OBS
corno?,loud_coringa,2026-04-10,INS
saapato feio da porra kkkkkkkkkkkkkkkkkkk,loud_coringa,2026-04-10,OBS
Corno?,loud_coringa,2026-04-10,INS
ta poha kkkkkkkkkkkkkkk,loud_coringa,2026-04-10,OBS
@beaaxh É que palmeiras é lixo dms,loud_coringa,2026-04-10,INS
Caveira porra,loud_coringa,2026-04-10,OBS
Pqp kkkkkkkkkkkkkkkkkkkkkkk,loud_coringa,2026-04-10,OBS
tu ta fudido,loud_coringa,2026-04-10,OBS
Pqp em coringq,loud_coringa,2026-04-10,OBS
A bota anta,loud_coringa,2026-04-10,INS
é samu ou investigador porra,loud_coringa,2026-04-10,OBS
O cuturno anta,loud_coringa,2026-04-10,INS
delay da porra kkkk,loud_coringa,2026-04-10,OBS
Queria falar n mas vcs vão se foder,loud_coringa,2026-04-10,OBS
ta porra,loud_coringa,2026-04-10,OBS
corno,loud_coringa,2026-04-10,INS
tirou não jumento,loud_coringa,2026-04-10,INS
to sentindo q vai dar ruim,loud_coringa,2026-04-10,INS
Porra,loud_coringa,2026-04-10,OBS
Se der bom vai dar ruim...,loud_coringa,2026-04-10,INS
Isso vai dar ruim kkkkkkk,loud_coringa,2026-04-10,INS
Vai da ruim isso,loud_coringa,2026-04-10,INS
Porrar,loud_coringa,2026-04-10,OBS
"99% vai da ruim, 1% pra da certo",loud_coringa,2026-04-10,INS
crl essa foi de fuder kk,loud_coringa,2026-04-10,OBS
pohaaaaa twitchhhhhhhhhhh,loud_coringa,2026-04-10,OBS
kkkkkkkkkkkkkkkkkkkkkkk vsf esses caras sao bons demais,loud_coringa,2026-04-10,OBS
PQP,loud_coringa,2026-04-10,OBS
Como assim? Deu ruim oque? Só tinham de ficar quietos no monte.,loud_coringa,2026-04-10,INS
pqp,loud_coringa,2026-04-10,OBS
A veio desgraçado,loud_coringa,2026-04-10,OBS
caralhooo,cellbit,2026-04-10,OBS
shanks é mt fudido,cellbit,2026-04-10,OBS
cara esse jogo é cheio de nuancias wtf,cellbit,2026-04-10,OBS
o porra,cellbit,2026-04-10,OBS
puta q pariu,cellbit,2026-04-10,OBS
ah da pra resolver pra caralho,cellbit,2026-04-10,OBS
@matf8 pqp agr só vejo isso,cellbit,2026-04-10,OBS
tô me sentindo burra pq já me perdi 3 vezes nesse raciocinio,cellbit,2026-04-10,INS
Om pqp,cellbit,2026-04-10,OBS
Om porra foi essa,cellbit,2026-04-10,OBS
muito melhor pqp Om,cellbit,2026-04-10,OBS
@ivo_hu3 caralho achou,cellbit,2026-04-10,OBS
puta merda verdade,cellbit,2026-04-10,OBS
nossa ent as coisa tao classificada errada? pqp,cellbit,2026-04-10,OBS
essas pessoas me dao susto pqp,cellbit,2026-04-10,OBS
"rapaz, eu só assisto sou muito burro pra jogar eses jogos kkkkkk",cellbit,2026-04-10,INS
madeira de caralho,cellbit,2026-04-10,OBS
@ultimate1st ele que configurou dessa maneira assim como fnb tbm joga no clarão,baiano,2026-04-10,INS
Que resenha gostosa pqp kkkkkkkkkk,gaules,2026-04-11,OBS
kkkkkkk WTF Om,cellbit,2026-04-11,OBS
Om porra é essa,cellbit,2026-04-11,OBS
Om vsf,cellbit,2026-04-11,OBS
Pqp,cellbit,2026-04-11,OBS
Pqp,cellbit,2026-04-11,OBS
Caralho,cellbit,2026-04-11,OBS
caralho,cellbit,2026-04-11,OBS
é ia pra caralho,cellbit,2026-04-11,OBS
esse vídeo é velho pra caralho cara,cellbit,2026-04-11,OBS
"@hersinho23 ""Puro e preto, para combinar com a minha alma subescura""  (por favor entendam a referencia)",cellbit,2026-04-11,DO
nossa q merda,cellbit,2026-04-11,OBS
Om vsf,cellbit,2026-04-11,OBS
WOAH WTF,cellbit,2026-04-11,OBS
Om pqp,cellbit,2026-04-11,OBS
tudo e ia hj em dia pqp mds povo chato,cellbit,2026-04-11,"INS, OBS"
@Cellbit a moto dando ré é foda Om,cellbit,2026-04-11,OBS
tudo e ia hj em dia pqp mds povo chato.,cellbit,2026-04-11,"INS, OBS"
Om por que caralhos o cara ia fazer butigao 3d,cellbit,2026-04-11,OBS
carai cozinhou mesmo,cellbit,2026-04-11,OBS
mini porra?,cellbit,2026-04-11,OBS
mini porra??,cellbit,2026-04-11,OBS
WTF,cellbit,2026-04-11,OBS
mini porra Porrineo,cellbit,2026-04-11,OBS
Um mini porra?,cellbit,2026-04-11,OBS
Um mini porra,cellbit,2026-04-11,OBS
mini porra??,cellbit,2026-04-11,OBS
Mini porra,cellbit,2026-04-11,OBS
mini porra EWWW,cellbit,2026-04-11,OBS
caralho Smart,cellbit,2026-04-11,OBS
PQP,cellbit,2026-04-11,OBS
essa lata deve ta quente pa porra,cellbit,2026-04-11,OBS
Smart porra,cellbit,2026-04-11,OBS
WTF Om,cellbit,2026-04-11,OBS
caralho WOAH,cellbit,2026-04-11,OBS
WOAH caralho,cellbit,2026-04-11,OBS
CARALHO cellWOAH,cellbit,2026-04-11,OBS
cellWOAH CARALHO,cellbit,2026-04-11,OBS
CARALHO,cellbit,2026-04-11,OBS
porra ficou foda,cellbit,2026-04-11,OBS
ah po nn tava ruim tbm po,cellbit,2026-04-11,INS
Om caralho,cellbit,2026-04-11,OBS
isso daí pegaram no lixo,cellbit,2026-04-11,INS
ta porra,cellbit,2026-04-11,OBS
daqui a pouco o cachorro vai rolar d20 pra ver se mata os donos....,cellbit,2026-04-11,AME
cachorro burro fdp,cellbit,2026-04-11,"INS, OBS"
Classico pqp,cellbit,2026-04-12,OBS
Om VSF,cellbit,2026-04-12,OBS
Eu seria o cara rindo pra caralho,cellbit,2026-04-12,OBS
hesRight caralho,cellbit,2026-04-12,OBS
CARALHO,cellbit,2026-04-12,OBS
Caralho,cellbit,2026-04-12,OBS
Eita porra,cellbit,2026-04-12,OBS
Caralho,cellbit,2026-04-12,OBS
caralho,cellbit,2026-04-12,OBS
Caralho,cellbit,2026-04-12,OBS
que aura da porra,cellbit,2026-04-12,OBS
CARALHO,cellbit,2026-04-12,OBS
Taporraaakkk CARALHO,cellbit,2026-04-12,OBS
Om demorou pqp,cellbit,2026-04-12,OBS
claro que é em curitiba essa porra,cellbit,2026-04-12,OBS
criança burra é foda,cellbit,2026-04-12,INS
Pqp,cellbit,2026-04-12,OBS
Pqp ͏,cellbit,2026-04-12,OBS
Pqp,cellbit,2026-04-12,OBS
D: wtf,cellbit,2026-04-12,OBS
Om VSF,cellbit,2026-04-12,OBS
D: wtf ͏,cellbit,2026-04-12,OBS
D: wtf,cellbit,2026-04-12,OBS
FDP D:,cellbit,2026-04-12,OBS
Pqp,cellbit,2026-04-12,OBS
só tem meme de animal no reddit hoje em dia pqp,cellbit,2026-04-12,OBS
wtf,cellbit,2026-04-12,OBS
CARALHO 100% isso,cellbit,2026-04-12,OBS
caralho,cellbit,2026-04-12,OBS
caralho Taporraaakkk,cellbit,2026-04-12,OBS
CARALHO,cellbit,2026-04-12,OBS
CARALHO,cellbit,2026-04-12,OBS
cellWOAH CARALHO,cellbit,2026-04-12,OBS
CARALHO,cellbit,2026-04-12,OBS
pqp esse video,cellbit,2026-04-12,OBS
wtf,cellbit,2026-04-12,OBS
WTF,cellbit,2026-04-12,OBS
Om que porra é essa,cellbit,2026-04-12,OBS
Om VSF,cellbit,2026-04-12,OBS
Om VSF,cellbit,2026-04-12,OBS
naaaoooo é uma merda,cellbit,2026-04-12,OBS
É uma merda,cellbit,2026-04-12,OBS
tá uma merda o 2,cellbit,2026-04-12,OBS
O 2 é uma merda,cellbit,2026-04-12,OBS
o 2 é ruim,cellbit,2026-04-12,INS
Irmão que Twitch merda,cellbit,2026-04-12,OBS
o 2 é uma merda,cellbit,2026-04-12,OBS
"o 2 e bom pra porra chat, shiu",cellbit,2026-04-12,OBS
D: essa merda?,cellbit,2026-04-12,OBS
"""Essa merda""",cellbit,2026-04-12,OBS
caralho Om,cellbit,2026-04-12,OBS
Onde voce ta lendo isso porra,cellbit,2026-04-12,OBS
essa MERDA,cellbit,2026-04-12,OBS
essa MERDA,cellbit,2026-04-12,OBS
porra,cellbit,2026-04-12,OBS
D: essa merda,cellbit,2026-04-12,OBS
Essa merda,cellbit,2026-04-12,OBS
o 2 é uma merda,cellbit,2026-04-12,OBS
que merda,cellbit,2026-04-12,OBS
porra,cellbit,2026-04-12,OBS
Om essa merda?,cellbit,2026-04-12,OBS
Essa merda Om,cellbit,2026-04-12,OBS
essa merda??,cellbit,2026-04-12,OBS
o cara chamou de MERDA,cellbit,2026-04-12,OBS
essa MERDA,cellbit,2026-04-12,OBS
essa MERDA,cellbit,2026-04-12,OBS
D: essa merda,cellbit,2026-04-12,OBS
Essa merda Om,cellbit,2026-04-12,OBS
D: MERDA,cellbit,2026-04-12,OBS
essa MERDA,cellbit,2026-04-12,OBS
como assim essa merda?,cellbit,2026-04-12,OBS
essa MERDA,cellbit,2026-04-12,OBS
essa merda D:,cellbit,2026-04-12,OBS
D: q merda,cellbit,2026-04-12,OBS
essa MERDA saiu,cellbit,2026-04-12,OBS
dizem que é ruim,cellbit,2026-04-12,INS
voce comeria o pudim desse veio filho duma puta,cellbit,2026-04-12,OBS
D: ele preparou o pudim maneiro e vc trata assim,cellbit,2026-04-12,INS
porra parece muito bom,cellbit,2026-04-12,OBS
duro é ruim,cellbit,2026-04-12,INS
porra deve ser bom pklrh,cellbit,2026-04-12,OBS
caralho só tem vídeo de pet no reddit KKKKKK,cellbit,2026-04-12,OBS
Pudim japonês é esse lixo mesmo,cellbit,2026-04-12,INS
Lapada seca do carai Om,cellbit,2026-04-12,OBS
"claro que tem, se sua opinião for merda vc tá errado ué",cellbit,2026-04-12,OBS
Om pqp,cellbit,2026-04-12,OBS
CARALHO,cellbit,2026-04-12,OBS
Caralho,cellbit,2026-04-12,OBS
gato bem feito da porra Om,cellbit,2026-04-12,OBS
Om PQP,cellbit,2026-04-12,OBS
vc ta pelo wifi burro,cellbit,2026-04-12,INS
vc ta pelo wifi burro ͏,cellbit,2026-04-12,INS
Om já deu merda mesmo,cellbit,2026-04-12,OBS
Meme ruim,cellbit,2026-04-12,INS
Om n tava ruim tava horrivel,cellbit,2026-04-12,INS
pqp,cellbit,2026-04-12,OBS
caralho,cellbit,2026-04-12,OBS
D: meu portao caralho,cellbit,2026-04-12,OBS
caralho,cellbit,2026-04-12,OBS
q arrombado,cellbit,2026-04-12,OBS
esse video era antigo pra porra 202,cellbit,2026-04-12,OBS
n se pode ter merda em osasco,cellbit,2026-04-12,OBS
porra portão é caro,cellbit,2026-04-12,OBS
Taporraaakkk caraio,cellbit,2026-04-12,OBS
AlienPls PORRA,cellbit,2026-04-12,OBS
caralho,cellbit,2026-04-12,OBS
Vai jogar um jogo logo para de ver vídeo ruim,cellbit,2026-04-12,INS
Om vsf,cellbit,2026-04-12,OBS
Om vsf,cellbit,2026-04-12,OBS
piscou primeiro otario,cellbit,2026-04-12,INS
O chat ali burro,cellbit,2026-04-12,INS
chillas art é maneiro,cellbit,2026-04-12,INS
tá bem ruim esse,cellbit,2026-04-12,INS
pior que o plot não é tao ruim,cellbit,2026-04-12,INS
n é ruim celbo,cellbit,2026-04-12,INS
esse é muito maneiro,cellbit,2026-04-12,INS
é ruim,cellbit,2026-04-12,INS
Parece ruim msm,cellbit,2026-04-12,INS
Net ruim?,cellbit,2026-04-12,INS
porra entao vai ser umas 5 horas nao ?,cellbit,2026-04-12,OBS
Porra,cellbit,2026-04-12,OBS
pqp,cellbit,2026-04-12,OBS
Puta que pariu,cellbit,2026-04-12,OBS
o cara gosta de uma mansão pqp,cellbit,2026-04-12,OBS
CARALHO,cellbit,2026-04-12,OBS
sera q vai ter um veio rico mas um merda,cellbit,2026-04-12,OBS
meu cerebro ta derretido pqp,cellbit,2026-04-12,OBS
@noblezito é na vdd pq o felps jogou e é muito ruim,cellbit,2026-04-12,INS
"@luccca, foda Classico",cellbit,2026-04-12,OBS
hype pqp,cellbit,2026-04-12,OBS
RAGEBEAR hoje tô com delay do caralho,cellbit,2026-04-12,OBS
"@lloreelo, RAGEY ta ai praga?",cellbit,2026-04-12,INS
@euGoop RAGEY que foi praga,cellbit,2026-04-12,INS
WOAH WTF,cellbit,2026-04-12,OBS
WOAH WTF euGoop,cellbit,2026-04-12,OBS
Mano parece aquela historia da quela puta mansao com caminhos aleatórios que nao levam a nada,cellbit,2026-04-12,OBS
wtf tu é mt bom no alfabeto,cellbit,2026-04-12,OBS
caralho Taporraaakkk,cellbit,2026-04-12,OBS
Wtf,cellbit,2026-04-12,OBS
a porra do local fechado com lobos dentro? mansão spencer do RE1 é você?,cellbit,2026-04-12,OBS
Smart Spectrumm__ caralho vdd,cellbit,2026-04-12,OBS
Burro kkkk não jogou umineko cellPFFF,cellbit,2026-04-12,INS
"Carai, parece que o tatu tomou uns 10 comprimidos de ritalina",baiano,2026-04-12,OBS
"Eu também atribuo muito à própria comunidade, vc vai ver nas streams, os live pix em sua maioria são de gente falando merda... como que gera vontade de pensar um conteúdo diferente pra esse bando de fdp?",baiano,2026-04-12,OBS
é o patapim mane,baiano,2026-04-12,INS
pqp,tck10,2026-04-12,OBS
q call bosta,tck10,2026-04-12,OBS
q lixo em,tck10,2026-04-12,INS
call ruim da porra,tck10,2026-04-12,"INS, OBS"
q  calll merda,tck10,2026-04-12,OBS
pqp,tck10,2026-04-12,OBS
q call merda cauan,tck10,2026-04-12,OBS
call merda,tck10,2026-04-12,OBS
q call merda,tck10,2026-04-12,OBS
que call lixo,tck10,2026-04-12,INS
q call merda do cauan,tck10,2026-04-12,OBS
Mid round n tem call burro,tck10,2026-04-12,INS
pqp,tck10,2026-04-12,OBS
"call nao foi ruim, mas foi muito afobados e indecisos kkkkkkkkkk",tck10,2026-04-12,INS
voltei vamo loud caralho,tck10,2026-04-12,OBS
mira gap do carai,tck10,2026-04-12,OBS
pqp,tck10,2026-04-12,OBS
PQP,tck10,2026-04-12,OBS
porra é essa,tck10,2026-04-12,OBS
"o virty falou QUE POHA, os cara jogam junto a 5 meses KK",tck10,2026-04-12,OBS
loud q é ruim msm,tck10,2026-04-12,INS
caralho taporra GAP DMS JESUS mds,tck10,2026-04-12,OBS
q time ruim,tck10,2026-04-12,INS
Time ruim ruim ruim,tck10,2026-04-12,INS
q time merda,tck10,2026-04-12,OBS
loud é uma vergonha pqp,tck10,2026-04-12,OBS
o demon1 é realmente mt bom wtf,tck10,2026-04-12,OBS
virty 1/7 sempre um fdp negativo,tck10,2026-04-12,OBS
virty lixo vtnc,tck10,2026-04-12,INS
q mira porra,tck10,2026-04-12,OBS
caralho,tck10,2026-04-12,OBS
caralho,tck10,2026-04-12,OBS
crl que bang,tck10,2026-04-12,OBS
crl,tck10,2026-04-12,OBS
caralho,tck10,2026-04-12,OBS
crl,tck10,2026-04-12,OBS
CRL,tck10,2026-04-12,OBS
PQP,tck10,2026-04-12,OBS
porra,tck10,2026-04-12,OBS
PQP,tck10,2026-04-12,OBS
joga p crl,tck10,2026-04-12,OBS
Amassou pqp,tck10,2026-04-12,OBS
Ele quer mais porraaa,tck10,2026-04-12,OBS
round da porra,tck10,2026-04-12,OBS
pqp,tck10,2026-04-12,OBS
2 2 o caralho,tck10,2026-04-12,OBS
nice caralho taporra,tck10,2026-04-12,OBS
caralho darker,tck10,2026-04-12,OBS
Demite essa porra desse virty,tck10,2026-04-12,OBS
"2 2 é o caralho, aqui é team 4k",tck10,2026-04-12,OBS
mano se a loud quiser eles ganham o jogo viado!!!,tck10,2026-04-12,DO
falou qualquer merda,tck10,2026-04-12,OBS
é só continuar fazer oq fizeram porra recursar bem,tck10,2026-04-12,OBS
vai perder agora c9 é ruim demais,tck10,2026-04-12,INS
briga de facão cego pqp,tck10,2026-04-12,OBS
pqp,tck10,2026-04-12,OBS
mt ruim,tck10,2026-04-12,INS
virty é trol pqp,tck10,2026-04-12,OBS
pqp,tck10,2026-04-12,OBS
1/9 pqp,tck10,2026-04-12,OBS
pra que gastar essa ult caralho,tck10,2026-04-12,OBS
esse virty é muito ruim pqp,tck10,2026-04-12,"INS, OBS"
o cara so se mata kkkk,tck10,2026-04-12,AME
é uma má vontade do virtyy pqp,tck10,2026-04-12,OBS
Ta se matando toda hr q isso kkkkkk,tck10,2026-04-12,AME
pqp é mt mira,tck10,2026-04-12,OBS
caralho,tck10,2026-04-12,OBS
nt caralho,tck10,2026-04-12,OBS
caralho a loud sempre entra com -1 Fu loud,tck10,2026-04-12,OBS
CARALHO caralho nice,tck10,2026-04-12,OBS
lixo,tck10,2026-04-12,INS
pq q essa merda de duelista ta ai ainda pfft,tck10,2026-04-12,OBS
foda é esses 2 drones o LUK tá fudido,tck10,2026-04-12,OBS
pqp,tck10,2026-04-12,OBS
CARALHO,tck10,2026-04-12,OBS
CARALHO,tck10,2026-04-12,OBS
caralho,tck10,2026-04-12,OBS
pqp,tck10,2026-04-12,OBS
caralho,tck10,2026-04-12,OBS
TA PORRA,tck10,2026-04-12,OBS
pqp,tck10,2026-04-12,OBS
AIN caralho Nossa AIN AIN nt,tck10,2026-04-12,OBS
mandou vc ir a merda,tck10,2026-04-12,OBS
fic da porra,tck10,2026-04-12,OBS
esse escroto vai morrer pra bomba,tck10,2026-04-12,OBS
que cuzão,tck10,2026-04-12,OBS
o cara se mao so pra n darn o ace fdp,tck10,2026-04-12,OBS
tem que ser o merda,tck10,2026-04-12,OBS
caralhoi cuzao epa,tck10,2026-04-12,OBS
burro,tck10,2026-04-12,INS
caralho,tck10,2026-04-12,OBS
muito ruim,tck10,2026-04-12,INS
pq o virty e tao ruim ? quantas rolas tenho que mamar pra ficar ganhando dinheiro facil assim no lugar dele?,tck10,2026-04-12,INS
CARALHO,tck10,2026-04-12,OBS
Crl,tck10,2026-04-12,OBS
nice caralho,tck10,2026-04-12,OBS
caralho cauan,tck10,2026-04-12,OBS
vamo porra,tck10,2026-04-12,OBS
que dó do cauan nessa merda de time,tck10,2026-04-12,OBS
que aura da porra,tck10,2026-04-12,OBS
caralho taporra pastrana ?,tck10,2026-04-12,OBS
"esse darker é bom demais, pqp",tck10,2026-04-12,OBS
7x5 burro,tck10,2026-04-12,INS
cauan matou no puxao da astra caralho,tck10,2026-04-12,OBS
7 - 5 burro,tck10,2026-04-12,INS
burro,tck10,2026-04-12,INS
7x5 morango burro,tck10,2026-04-12,INS
7-5 morango burro,tck10,2026-04-12,INS
burro,tck10,2026-04-12,INS
morangao burrinho,tck10,2026-04-12,INS
tu q é burro,tck10,2026-04-12,INS
pqp,tck10,2026-04-12,OBS
@armanelli volta dc fudido,tck10,2026-04-12,OBS
o xarola é burro ele n sabia cancelar a ult do omen @TcK10,tck10,2026-04-12,INS
É a disputa pra ver quem é mais ruim,tck10,2026-04-12,INS
darker é muito bom pqp,tck10,2026-04-12,OBS
4/11 ele é bom dms porra,tck10,2026-04-12,OBS
crl que tesao,tck10,2026-04-12,OBS
PQP,tck10,2026-04-12,OBS
"CARALHO DARKER, ta com TUDO?",tck10,2026-04-12,OBS
O Dg era ruim msm? kkkkkkkk,tck10,2026-04-12,INS
nn q porra e essa,tck10,2026-04-12,OBS
? AIN caralho ixi opa epa ss ss ss,tck10,2026-04-12,OBS
virty 5/12 pqp,tck10,2026-04-12,OBS
ta surdo darke fdp,tck10,2026-04-12,OBS
olha essa porra de mira,tck10,2026-04-12,OBS
"Tá perdido isso sim, que time lixo essa loud",tck10,2026-04-12,INS
caralho kkkkkkkkkkkkk,tck10,2026-04-12,OBS
caralho,tck10,2026-04-12,OBS
caralho,tck10,2026-04-12,OBS
caralho.,tck10,2026-04-12,OBS
caralhou,tck10,2026-04-12,OBS
juvenil do crl esse keznit,tck10,2026-04-12,OBS
Cara virtys deve está tendo algum caso amoroso com o Jean pá não possível um cara ruim desse continuar na loud kkkkkk,tck10,2026-04-12,INS
crl,tck10,2026-04-12,OBS
sobrou uma vandal e deram ela pro virty? pqp,tck10,2026-04-12,OBS
pelo amor de deus em q time de merda,tck10,2026-04-12,OBS
para de rir guys pqp,tck10,2026-04-12,OBS
@vicsfl_ ue fzr oq se a LOUD é ruim,tck10,2026-04-12,INS
q call confusa do caralho,tck10,2026-04-12,OBS
boa caralho,tck10,,OBS
@dmDEUX ele é todo ridiculo,tck10,2026-04-12,INS
CRL,tck10,2026-04-12,OBS
keznit ta falando como se fosse o fim do mundo pqp,tck10,2026-04-12,OBS
vamo poha,tck10,2026-04-12,OBS
esse keznit é chato p krl ne,tck10,2026-04-12,INS
a voz desse keznit puta que me pariu bglh feio,tck10,2026-04-12,OBS
Que round do krl pqp,tck10,2026-04-12,OBS
ele é ruim,tck10,2026-04-12,INS
@rodrigohenri1 te ouçe é foda KK,tck10,2026-04-12,OBS
caralho,tck10,2026-04-12,OBS
caralho,tck10,2026-04-12,OBS
caralho,tck10,2026-04-12,OBS
CARALHO,tck10,2026-04-12,OBS
darker goat pqp,tck10,2026-04-12,OBS
caralho,tck10,2026-04-12,OBS
krl darker que isso porra,tck10,2026-04-12,OBS
CARALHO,tck10,2026-04-12,OBS
pqp que sexy,tck10,2026-04-12,OBS
vamo darker caralho,tck10,2026-04-12,OBS
caralho nice,tck10,2026-04-12,OBS
ta porra,tck10,2026-04-12,OBS
ele é MT BOM PQP,tck10,2026-04-12,OBS
fdp,tck10,2026-04-12,OBS
que tempo de reacao da porra,tck10,2026-04-12,OBS
"caralho mano, olha esse mlk MARAVILHOSO jogando mano",tck10,2026-04-12,OBS
pqp Darker é bom pra CARALHOWWWWWWWWWWWWW,tck10,2026-04-12,OBS
